"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"55","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 252","Er ist der moderne Odysseus , aber da Bloom Jude ist , ist er auch der moderne Ahasver , der , vom Fluch Jesu gezeichnet , ruhelos durch die Welt wandert , ein ewiger Exilant , der nirgends","zu","Hause ist ."
"56","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 316","Wieder","zu","Hause goß Bach die Improvisationen in die Form einer sechsteiligen Fuge und machte sie zum Bestandteil eines musikalischen Geschenkpakets an den König , das er » musikalisches Opfer « nannte ."
"57","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 382","[...] fest in einer Schicht verankert waren und von da aus ihre Identität bezogen , ja daß die Gesellschaft gar nicht mehr aus Schichten bestand , sondern sich wie eine Torte aus gleichberechtigten Teilen zusammensetzte , die aus der Arbeitsteilung ( funktionale Differenzierung ) entstanden waren : also Justiz , Verwaltung , Erziehung , Wirtschaft , Polizei , Industrie etc . ; und daß der Einzelne zwar durch seinen Beruf , seine Ausbildung oder als Kunde in diese Bereiche hinein- und dann wieder hinausdriftete , daß er aber als Ganzer ein Individuum wurde , das überall und nirgends in der Gesellschaft","zu","Hause war . [...]"
"58","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 410","Die Sprache bildet durch ihre Stillagen immer auch die Sphären der Gesellschaft und ihren dramaturgischen Rahmen ab : im Büro spricht man anders als","zu","Hause und bei einer Beerdigung anders als in der Badeanstalt ."
"59","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 437","Den intimsten Kontakt zur Welt der Bücher bekommt man , wenn man sich einen Lieblingsbuchladen aussucht , in dem man sich wie","zu","Hause fühlt ."
"60","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 440","Um das herauszufinden , müßte er das Stück lesen oder sich sogar über den Autor informieren ( was etwa bei einem ausländischen Autor der Fall sein kann , der","zu","Hause erfolgreich , aber hier noch unbekannt ist ) ."
"61","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 446","Die Kinder wurden schon mit perfektem Englisch als Amerikaner groß , während die Eltern es nur unvollkommen beherrschten ,","zu","Hause z.B. lieber polnisch sprachen und merkwürdige Sitten pflegten , wobei der Vater noch autoritäre Anmaßungen aus der alten Gesellschaft mitschleppte , die in Amerika lächerlich wirkten ."
"62","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 452","Dieses Englisch lernt man entweder","zu","Hause , wenn die Eltern schon zu den » educated classes « gehören , oder auf den Public-Schools , womit in England , ganz im Gegensatz zu Amerika , private Internatsschulen bezeichnet werden , auf denen den Schülern neben den klassischen Fächern auch beigebracht wird , sich wie Ladies und Gentlemen zu fühlen und zu benehmen ."
"63","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 484","So sieht es im Augenblick danach aus , daß die Kluft zwischen Natur- und Geisteswissenschaften sich zu schließen beginnt , weil der Begriff der Reflexion und der Selbstbezüglichkeit , der bisher fast ausschließlich in den Geisteswissenschaften","zu","Hause war , auch zunehmend die Probleme der Naturwissenschaften bestimmt ."
"64","1999-11-18","Zeitung","Die Zeit, 18.11.1999, Nr. 47","Nicht Kleinbürgertum , aber auch nicht Hollywood , die obere Mittelklasse war da","zu","Hause ."
"65","1999-10-21","Zeitung","Die Zeit, 21.10.1999, Nr. 43","Sie wurde krank , hatte Parkinson , sie haben sie gepflegt , mussten sie dann , nach neuer Schwächung und weil es","zu","Hause so nicht mehr ging , ins Pflegeheim bringen ."
"66","1999-10-21","Zeitung","Die Zeit, 21.10.1999, Nr. 43","Fünfzig Verse später ist er wieder","zu","Hause :"
"67","1999-09-23","Zeitung","Die Zeit, 23.09.1999, Nr. 39","Damit der Angestellte mehr Zeit","zu","Hause verbringen kann , schenkt man ihm sogar ein Handy ."
"68","1999-09-09","Zeitung","Die Zeit, 09.09.1999, Nr. 37","Bobby ist von","zu","Hause geflohen und neu im Geschäft ."
"69","1999-08-05","Zeitung","Die Zeit, 05.08.1999, Nr. 32","Ich erinnere mich an die Theatergruppe in der Schule , an Dürrenmatts Besuch der alten Dame , und wie mein Bruder und ich Koby und Toby , Roby und Loby jeden Mittag","zu","Hause gaben : "" Kastriert und geblendet , kastriert und geblendet ."
"70","1999-07-22","Zeitung","Die Zeit, 22.07.1999, Nr. 30","Die Eltern werden zu Recht darauf bestehen , dass der 18-jährige Schüler , der noch","zu","Hause wohnt , von seinen 250 oder vielleicht bald 270 Mark nicht nur seine gesamten Schulbücher und seine Kleidung finanziert , sondern auch einen erheblichen Beitrag in die Haushaltskasse abzweigt ."
"71","1999-07-01","Zeitung","Die Zeit, 01.07.1999, Nr. 27","Der Charakter des maskierten Kämpfers , der sich nur im Schatten","zu","Hause fühlt , war von Anfang an düster und zwielichtig , angelehnt an die Helden der Pulp-Romane ."
"72","1999-07-01","Zeitung","Die Zeit, 01.07.1999, Nr. 27","Das führt bei mir","zu","Hause zu einem Problem ."
